name,servings,kcal,protein_g,carbs_g,fat_g,tags,allergens,cuisine,ingredients,steps
Dal Tadka & Roti,1,400,18,58,10,"vegan,indian,dinner","none (if oil, no ghee)",indian,toor/moong dal; onion; tomato; spices; roti,Cook dal; temper with spices; serve with roti.
Paneer & Veg Pulao,1,480,20,65,14,"vegetarian,indian,one-pot",dairy,indian,paneer; basmati rice; peas; carrot; spices,Sauté; add rice+water; cook 12-15 min.
Sprouts Bhel (light),1,280,16,40,6,"vegan,indian,snack",none,indian,moong sprouts; onion; tomato; lemon; spices,Mix all; add lemon and spice.
Overnight Oats (PB),1,380,18,45,12,"vegetarian,breakfast","peanuts,dairy (if milk)",american,oats; milk/alt; peanut butter; banana; chia,Combine; refrigerate overnight.
Besan Chilla,1,320,14,40,10,"vegan,indian,breakfast",none,indian,gram flour; onion; tomato; spices; oil spray,Make batter; cook crepes both sides.
Idli-Sambar (light),1,420,16,70,6,"vegetarian,indian,breakfast",none,indian,idli batter; sambar veggies; dal; spices,Steam idlis; prepare sambar.
Tuna Chickpea Salad,1,410,34,36,12,"pescatarian,high-protein,lunch",fish,mediterranean,canned tuna; chickpeas; olive; tomato; cucumber; lemon,Mix all; season.
Tofu Bhurji on Toast,1,360,24,40,10,"vegan,indian,breakfast","soy,gluten (toast)",indian,tofu; onion; tomato; spices; toast,Scramble tofu; serve on toast.
Veggie Dal Soup,1,320,18,48,6,"vegan,indian,soup",none,indian,mixed veg; moong dal; spices; water,Simmer till soft; blend partially.
Grilled Paneer Salad,1,380,24,35,14,"vegetarian,high-protein,lunch",dairy,indian,paneer; greens; cucumber; tomato; lemon; chaat masala,Grill paneer; toss salad.
Chicken & Veg Pulao (light),1,470,36,55,12,"omnivore,indian,one-pot",none,indian,chicken; rice; peas; carrot; spices,Sauté chicken; add rice+water; cook.
Egg Fried Rice (brown),1,430,20,60,12,"vegetarian,asian","eggs,soy (if soy sauce)",chinese,brown rice; eggs; peas; carrots; soy sauce,Stir-fry rice and veg; add eggs; season.
Quinoa Chole Bowl,1,430,18,60,10,"vegan,indian,lunch",none,indian,quinoa; chana; onion; tomato; spices,Cook quinoa; simmer chana; assemble.
Ragi Dosa & Chutney,1,360,10,60,8,"vegan,indian,breakfast",none,indian,ragi flour; dosa batter; coconut chutney,Make dosas; serve with chutney.
Mediterranean Egg Bowl,1,390,24,30,16,"vegetarian,breakfast","eggs,dairy (feta)",mediterranean,eggs; cherry tomato; cucumber; olives; feta; pita,Assemble bowl; optional pita.
Moonglet (Dal Omelette),1,340,20,42,8,"vegan,indian,breakfast",none,indian,soaked moong; spices; onion; tomato,Blend; pan-cook thick omelette.
Chicken Keema & Peas,1,450,36,30,16,"omnivore,indian,dinner",none,indian,chicken mince; peas; onion; tomato; spices,Sauté mince; add peas; simmer.
Palak Paneer Light,1,420,24,32,18,"vegetarian,indian,dinner",dairy,indian,spinach; paneer; onion; tomato; spices; light cream(optional),Blanch spinach; blend; simmer with paneer.
Fish Curry (Coconut light),1,440,34,38,16,"pescatarian,indian,dinner",fish,indian,white fish; coconut milk light; curry spices; rice,Simmer curry; add fish; serve with rice.
Veg Pita Pocket,1,360,12,55,8,"vegetarian,lunch",gluten (pita),middle eastern,pita; hummus; veggies; lettuce; lemon,Stuff pita with fillings.
Protein Smoothie (Berry),1,320,25,35,8,"vegetarian,breakfast",dairy (whey),american,whey/alt protein; berries; milk/alt; oats,Blend till smooth.
Mixed Bean Burrito (light),1,450,20,60,12,"vegan,mexican,lunch",gluten (wrap),mexican,beans; rice; salsa; lettuce; wrap,Assemble and roll.
Curd Rice (light),1,380,12,62,8,"vegetarian,indian,comfort",dairy,indian,cooked rice; curd; tempering spices,Mix rice with curd; add tempering.
